,RespondentID,"In your own words, what would you call the part of the country you live in now?",Personally identification as a Midwesterner?,Illinois in MW?,Indiana in MW?,Iowa in MW?,Kansas in MW?,Michigan in MW?,Minnesota in MW?,Missouri in MW?,Nebraska in MW?,North Dakota in MW?,Ohio in MW?,South Dakota in MW?,Wisconsin in MW?,Arkansas in MW?,Colorado in MW?,Kentucky in MW?,Oklahoma in MW?,Pennsylvania in MW?,West Virginia in MW?,Montana in MW?,Wyoming in MW?,ZIP Code,Gender,Age,Household Income,Education,Location (Census Region)
0,3122721858,california,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,94114.0,Female,> 60,"$150,000+",Graduate degree,Pacific
1,3120862360,backwoods,Not at all,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,93401.0,Female,> 60,"$150,000+",Graduate degree,Pacific
2,3123244986,northwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,97741.0,Female,> 60,"$150,000+",Graduate degree,Pacific
3,3122928269,southwest,Some,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,92020.0,Female,> 60,"$150,000+",Graduate degree,Pacific
4,3122855938,northwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,99507.0,Female,> 60,"$150,000+",Graduate degree,Pacific
5,3122893863,california,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,94025.0,Male,> 60,"$150,000+",Graduate degree,Pacific
6,3122865289,backwoods,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,92392.0,Male,> 60,"$150,000+",Graduate degree,Pacific
7,3122393537,ohio,Not at all,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,91740.0,Male,> 60,"$150,000+",Graduate degree,Pacific
8,3122864652,backwoods,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,92130.0,Male,> 60,"$150,000+",Graduate degree,Pacific
9,3122206908,california,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,93711.0,Male,> 60,"$150,000+",Graduate degree,Pacific
10,3122849268,backwoods,Not at all,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,95070.0,Female,45-60,"$150,000+",Graduate degree,Pacific
11,3122266568,backwoods,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,90056.0,Female,45-60,"$150,000+",Graduate degree,Pacific
12,3120861399,backwoods,Not at all,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,98656.0,Female,45-60,"$150,000+",Graduate degree,Pacific
13,3123371240,backwoods,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,97502.0,Female,45-60,"$150,000+",Graduate degree,Pacific
14,3123290052,backwoods,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,90245.0,Male,45-60,"$150,000+",Graduate degree,Pacific
15,3123054076,southerncalifornia,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,92782.0,Female,45-60,"$150,000+",Graduate degree,Pacific
16,3122988231,backwoods,Not at all,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,91304.0,Male,45-60,"$150,000+",Graduate degree,Pacific
17,3122975226,backwoods,Not at all,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,94533.0,Female,45-60,"$150,000+",Graduate degree,Pacific
18,3122870329,ohio,Not at all,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,98665.0,Male,45-60,"$150,000+",Graduate degree,Pacific
19,3122838458,california,Not at all,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,94085.0,Female,30-44,"$150,000+",Graduate degree,Pacific
20,3120786297,backwoods,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,92359.0,Female,30-44,"$150,000+",Graduate degree,Pacific
21,3123170755,backwoods,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,95616.0,Female,30-44,"$150,000+",Graduate degree,Pacific
22,3120981495,ohio,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,94129.0,Female,30-44,"$150,000+",Graduate degree,Pacific
